Prefix,Next Activity - Ground Truth,Role Prefix,Next Role,Time Between Prefix,Next Activity - Prediction,Correct Prediction
"[1, 14, 12, 14, 12]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287, -1.0910354331737393, 0.00396280197636294]",10,1
"[1, 14, 12, 14, 12, 10]",12,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287, -1.0910354331737393, 0.00396280197636294, -0.6560372061135992]",2,0
"[1, 14, 12, 14, 12, 10, 12]",14,"[1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287, -1.0910354331737393, 0.00396280197636294, -0.6560372061135992, 0.8913803968772908]",10,0
"[1, 14, 12, 14, 12, 10, 12, 14]",12,"[1, 1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287, -1.0910354331737393, 0.00396280197636294, -0.6560372061135992, 0.8913803968772908, -1.0682914220782906]",10,0
"[1, 14, 12, 14, 12, 10, 12, 14, 12]",10,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287, -1.0910354331737393, 0.00396280197636294, -0.6560372061135992, 0.8913803968772908, -1.0682914220782906, 0.8881555111078484]",10,1
"[1, 14, 12, 14, 12, 10, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287, -1.0910354331737393, 0.00396280197636294, -0.6560372061135992, 0.8913803968772908, -1.0682914220782906, 0.8881555111078484, -0.7462284150772021]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9399036781947867]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9399036781947867, -0.2084374144931978]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.1391935619146189]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, -0.1391935619146189, -0.999229737508277]",12,1
"[1, 12, 14, 12]",14,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.1391935619146189, -0.999229737508277, 1.0481974759847656]",10,0
"[1, 12, 14, 12, 14]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.1391935619146189, -0.999229737508277, 1.0481974759847656, -0.5527958695949514]",10,1
"[1, 12, 14, 12, 14, 10]",2,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.1391935619146189, -0.999229737508277, 1.0481974759847656, -0.5527958695949514, 0.8443278945407764]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.17626582306502434]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.17626582306502434, 0.9472444112569296]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.17626582306502434, 0.9472444112569296, 1.081638725993556]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.514138525673301]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.514138525673301, 0.9753348744997052]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.514138525673301, 0.9753348744997052, 0.7883958721592162]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.04452779491499748]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.04452779491499748, 0.694819531135525]",10,1
"[1, 1, 12, 10]",12,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.04452779491499748, 0.694819531135525, -0.8375756257504222]",2,0
"[1, 1, 12, 10, 12]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.04452779491499748, 0.694819531135525, -0.8375756257504222, 0.47025121866757025]",10,1
"[1, 1, 12, 10, 12, 10]",2,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.04452779491499748, 0.694819531135525, -0.8375756257504222, 0.47025121866757025, -0.8884170624358094]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.6991131312611097]",12,1
"[1, 1, 12]",14,"[1, 1, 1]",1,"[-1.4224766107948632, 0.6991131312611097, -0.7279615979313772]",10,0
"[1, 1, 12, 14]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.6991131312611097, -0.7279615979313772, 0.9116574063238029]",10,1
"[1, 1, 12, 14, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.6991131312611097, -0.7279615979313772, 0.9116574063238029, 1.0399124772271926]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",12,"[1, 1]",1,"[-1.4224766107948632, -0.1392846215648884]",2,0
"[1, 10, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.1392846215648884, 0.9641747989168684]",10,1
"[1, 10, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.1392846215648884, 0.9641747989168684, 0.750967923496168]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.11791237953596534]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.11791237953596534, -0.1389206746918587]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 0.22719755002538475]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8452000335136519]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8452000335136519, -0.9301680529382633]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.985851352863059]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.985851352863059, 0.6866864609411889]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.985851352863059, 0.6866864609411889, 1.0332260358789773]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9850203238884035]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9850203238884035, 0.8472173607085929]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9850203238884035, 0.8472173607085929, 0.1426613359881867]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9850203238884035, 0.8472173607085929, 0.1426613359881867, -1.0910354331737393]",2,1
[12],14,[1],1,[-1.4224766107948632],10,0
"[12, 14]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8172912335669696]",10,1
"[12, 14, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8172912335669696, 0.9180809362291533]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.78146113958312]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.78146113958312, 0.8726581703952516]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.2025055311717044]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.2025055311717044, 0.7886913265715314]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8549119740293576]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8549119740293576, 0.15859601619230673]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",10,"[1, 1]",1,"[-1.4224766107948632, 0.4546846927923746]",12,0
"[1, 1, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.4546846927923746, 0.5356351111483074]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.9488012354435241]",10,1
"[1, 12, 10]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9488012354435241, 0.5345317107165496]",2,0
"[1, 12, 10, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9488012354435241, 0.5345317107165496, -1.4224766107948632]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, -1.0302840343980082]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8811680079360862]",10,1
"[1, 12, 10]",12,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8811680079360862, 0.7055399550357145]",2,0
"[1, 12, 10, 12]",14,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8811680079360862, 0.7055399550357145, 0.6991489467252895]",10,0
"[1, 12, 10, 12, 14]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8811680079360862, 0.7055399550357145, 0.6991489467252895, 0.5043957337587398]",10,1
"[1, 12, 10, 12, 14, 10]",2,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8811680079360862, 0.7055399550357145, 0.6991489467252895, 0.5043957337587398, 0.9939886148399468]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.21925072782863061]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.21925072782863061, -0.03815959052029633]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.23453404074039896]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.23453404074039896, 0.4491723935432517]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9733792414536538]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9733792414536538, 0.07139303912063338]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9733792414536538, 0.07139303912063338, 1.0076421920748757]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.014656435833073475]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.014656435833073475, -0.25409849076793806]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.5542876148373137]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5542876148373137, 0.933663249785256]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.5542876148373137, 0.933663249785256, 0.8495887721571274]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.903912019031535]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.903912019031535, -0.9729737036015484]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.49504924158789876]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.49504924158789876, -0.6760988456814356]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7403667143924021]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7403667143924021, 0.8193282543494528]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.6364750766514569]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.6364750766514569, -0.2606573487993979]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8959884009896292]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8959884009896292, 0.4379449634100082]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.6893778067508478]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.6893778067508478, -1.0302840343980082]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.29996993115579884]",10,0
"[1, 12, 14]",14,"[1, 1, 1]",1,"[-1.4224766107948632, -0.29996993115579884, -0.5323904820360267]",10,0
"[1, 12, 14, 14]",12,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29996993115579884, -0.5323904820360267, 0.9486032694142738]",10,0
"[1, 12, 14, 14, 12]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29996993115579884, -0.5323904820360267, 0.9486032694142738, 1.0865359460584145]",10,1
"[1, 12, 14, 14, 12, 10]",2,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29996993115579884, -0.5323904820360267, 0.9486032694142738, 1.0865359460584145, -0.8811680079360862]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.5153681031797385]",10,1
"[1, 12, 10]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5153681031797385, 0.6295475746152268]",2,0
"[1, 12, 10, 12]",14,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.5153681031797385, 0.6295475746152268, 0.7532011874646029]",10,0
"[1, 12, 10, 12, 14]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.5153681031797385, 0.6295475746152268, 0.7532011874646029, 0.6321245855522213]",10,1
"[1, 12, 10, 12, 14, 10]",2,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.5153681031797385, 0.6295475746152268, 0.7532011874646029, 0.6321245855522213, 0.949769814556919]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0140501305618201]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0140501305618201, -0.08301844466995136]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7892596045341959]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7892596045341959, -0.5457189495937318]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7901442463517768]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7901442463517768, 0.9491954090993269]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.5882418996580566]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.5882418996580566, -0.8811680079360862]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.5882418996580566, -0.8811680079360862, 1.1541650968386439]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.2031776747486991]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.2031776747486991, -0.1853349457310261]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.6964268294345416]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.6964268294345416, 0.09745254758325998]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",10,"[1, 1]",1,"[-1.4224766107948632, -0.5158239080320297]",2,0
"[1, 10, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.5158239080320297, -1.2353531966526587]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7431116648096161]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7431116648096161, -0.5333086894983743]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8269267164196157]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8269267164196157, 0.816973092375167]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",10,"[1, 1]",1,"[-1.4224766107948632, 0.2789243995211111]",12,0
"[1, 1, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.2789243995211111, -0.4218168625421308]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, -0.23485300538749368]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.014436637578596659]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.014436637578596659, 0.6215750511605526]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.048229782510454]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.0339268127265065]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.3263397760189277]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.3263397760189277, 0.881729893042436]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",10,"[1, 1]",1,"[-1.4224766107948632, 0.3055887232933756]",2,0
"[1, 10, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.3055887232933756, -1.4224766107948632]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.6786271856588789]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.6786271856588789, -0.24743876516754224]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.048229782510454]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.7509483535447739]",2,1
[12],10,[1],1,[-1.4224766107948632],10,1
"[12, 10]",2,"[1, 1]",1,"[-1.4224766107948632, -0.13136514375492]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.999229737508277]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.999229737508277, 0.7009098393344529]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
